BillNo,Billdate,NetAmount,Description,ConsigneeName,Transporter,Godown,TotReels,TotWeight,GAmount,VehicleNo,Distributor
KPM/2022-23/0547,20/05/2022,14855,Local,GOVIND PACKAGES & PRINTERS,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,1,351,13250.25,MH04GF3300,S PAPERS
KPM/2022-23/0548,20/05/2022,162167,Local,S A COROPACK-SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,8,3634,144647,MH04GF3300,S PAPERS
KPM/2022-23/0549,20/05/2022,326262,Local,GOVIND PACKAGES & PRINTERS,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,17,7709,291014.75,MH04GF3300,S PAPERS
KPM/2022-23/0550,20/05/2022,340956,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,8,8118,304425,MH12HD7886,KRISHNA AGENCIES
KPM/2022-23/0551,20/05/2022,139272,Local,AVADHOOT PAPER PRODUCTS PVT LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,3,3316,124350,MH12HD7886,AVADHOOT PAPER PRODUCTS PVT LTD.
KPM/2022-23/0552,20/05/2022,125706,Local,AVADHOOT PAPER PRODUCTS PVT LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,3,2993,112237.5,MH12HD7886,AVADHOOT PAPER PRODUCTS PVT LTD.
KPM/2022-23/0553,20/05/2022,447419,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,13,9925,399481.25,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0554,20/05/2022,28285,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,1,669,25254.75,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0555,20/05/2022,297788,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM2 GODOWN,10,7186,265882,MH46BM9742,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0556,20/05/2022,314436,Local,MITTAL PACKAGING - LT,PARTY TRANSPORT,PM3 GODOWN,8,7684,280466,MP09GH4389,LAKHOTIYA TRADERS PVT. LTD.-DRS
KPM/2022-23/0557,20/05/2022,234441,Local,GOPALA KRAFT PACK PVT LTD. - CTC,PARTY TRANSPORT,PM3 GODOWN,6,5814,209304,MH04GC0852,CONTINENTAL TRADE CORPORATION
KPM/2022-23/0558,20/05/2022,973338,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,CENTRAL INDIA TRANSPORT AGENCY,PM2 GODOWN,14,21310,867317,MH25U7644,KEDAR PAPER CONVERSION
KPM/2022-23/0559,20/05/2022,523213,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,14,12208,467154,MH20BT3581,SHRINIWAS ENTERPRISES
EXP/2022-23/0110,21/05/2022,14742.44,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,26,25418,14742.44,MH46AF8250,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0111,21/05/2022,15227.32,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,26,26254,15227.32,MH46AR4403,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0112,21/05/2022,15323.6,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26420,15323.6,MH46AF1469,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0113,21/05/2022,15205.28,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26216,15205.28,MH14JL2416,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0114,21/05/2022,15223.26,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26247,15223.26,MH14GU8419,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0115,21/05/2022,15421.62,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26589,15421.62,MH14GU8519,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0116,21/05/2022,15537.62,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,19,26789,15537.62,MH46AF1466,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0117,21/05/2022,15508.62,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,21,26739,15508.62,MH14JL1519,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0560,21/05/2022,471198,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,12,11219,420712.5,MH06K6299,KRISHNA AGENCIES
KPM/2022-23/0562,21/05/2022,536374,Local,IMPAKT PACKAGING ( NASHIK),NAFISA ROADLINES,PM2 GODOWN,27,11813,478426.5,MP06GA0674,VEDANT PACKER PVT. LTD.
KPM/2022-23/0563,21/05/2022,245914,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,9,6057,216537.75,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0564,21/05/2022,911820,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM3 GODOWN,21,21836,803207,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0565,21/05/2022,946299,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,CENTRAL INDIA TRANSPORT AGENCY,PM2 GODOWN,14,20718,843222.6,MH12MV9564,KEDAR PAPER CONVERSION
KPM/2022-23/0566,21/05/2022,275183,Local,SHRIMANT TRADERS,PARTY TRANSPORT,PM2 GODOWN,11,6679,245453.25,MH16Q5057,SUSHMA SALES CORPORATION
KPM/2022-23/0567,21/05/2022,1040664,Local,DHANLAKSHMI PACKAGING INDUSTRIES PRIVATE LIMITED,PARIYANI TRANSPORT S,PM2 GODOWN,14,21555,927308.5,AP20TC3069,KEDAR PAPER CONVERSION
EXP/2022-23/0118,22/05/2022,15573.58,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26851,15573.58,MH46AR8477,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0119,22/05/2022,15640.28,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,28,26966,15640.28,MH14HG6766,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0120,22/05/2022,15436.7,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26615,15436.7,MH12HD0291,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0568,22/05/2022,459615,Local,PAACK IN INDIA - SE,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,11,10956,409961,MH12HD7886,SHRINIWAS ENTERPRISES
KPM/2022-23/0569,22/05/2022,240324,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,5,5722,214575,MH20CT0633,KRISHNA AGENCIES
KPM/2022-23/0570,22/05/2022,51072,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,1,1216,45600,MH20CT0633,KRISHNA AGENCIES
KPM/2022-23/0571,22/05/2022,246246,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,5,5863,219862.5,MH20CT0633,KRISHNA AGENCIES
KPM/2022-23/0572,22/05/2022,452861,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM3 GODOWN,11,10711,404340.25,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0573,22/05/2022,277441,Local,ALIGN COMPONENTS PVT. LTD. (BUII),PARTY TRANSPORT,PM3 GODOWN,6,6562,247715.5,MH20EL7326,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0574,22/05/2022,482475,Local,TRIMURTI PACKAGING -VP,KHANDESH GOLDEN TRANSPORT,PM2 GODOWN,21,11495,430350.5,MH18BG2853,VEDANT PACKER PVT. LTD.
KPM/2022-23/0575,22/05/2022,399368,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM3 GODOWN,11,9533,356578.75,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0576,22/05/2022,460088,Local,PACOPACK,SANKAT MOCHAN ROADLINES,PM2 GODOWN,23,10483,410382.5,MH03CV1632,PACOPACK
KPM/2022-23/0577,22/05/2022,482780,Local,K B Industries - SP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,19,11185,430622.5,MH12TV3927,S PAPERS
KPM/2022-23/0578,22/05/2022,246485,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,6,5948,220076,MH46BU0157,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0579,22/05/2022,84620,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM2 GODOWN,3,2042,75554,MH46BU0157,B.J. BHANDARI PAPERS PVT. LTD. - R
EXP/2022-23/0121,23/05/2022,15415.24,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26578,15415.24,MH46AF1469,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0580,23/05/2022,700654,Local,Frigerio Conserva Allana Private Limited,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,26,16398,625583.7,MH20BT2012,SHRINIWAS ENTERPRISES
KPM/2022-23/0581,23/05/2022,428183,Local,MHETRE PACKAGING PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,15,9203,381924.5,MH20DE1939,MHETRE PACKAGING PVT. LTD.
KPM/2022-23/0582,23/05/2022,117061,Local,MHETRE PACKAGING PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,5,2516,104414,MH20DE1939,MHETRE PACKAGING PVT. LTD.
KPM/2022-23/0583,23/05/2022,511735,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM3 GODOWN,13,11495,456906.25,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0585,23/05/2022,505282,Local,SYDLER REMEDIES PRIVATE LIMITED,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,27,10797,450694,MH20BT1154,VEDANT PACKER PVT. LTD.
KPM/2022-23/0586,23/05/2022,219700,Local,Vyankatesh Packaging -VP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,11,5090,195965,MH20BT1154,VEDANT PACKER PVT. LTD.
KPM/2022-23/0587,23/05/2022,85714,Local,SHARDOPASANA INDUSTRIES,PARTY TRANSPORT,PM3 GODOWN,4,1778,76454,MH20AP7624,VEDANT PACKER PVT. LTD.
KPM/2022-23/0589,23/05/2022,476795,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,16,11166,426339,MH20BT3581,SHRINIWAS ENTERPRISES
KPM/2022-23/0590,23/05/2022,715567,Local,GREENPACK INDUSTRIES -,SELF TRANSPORTER,PM3 GODOWN,19,17385,638898.75,MH43E7187,GREENPACK INDUSTRIES -
KPM/2022-23/0591,23/05/2022,360738,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,8,8589,322087.5,MH20AT9122,KRISHNA AGENCIES
KPM/2022-23/0592,23/05/2022,369558,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,8,8799,329962.5,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0593,23/05/2022,142884,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,3,3402,127575,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0594,23/05/2022,902320,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM3 GODOWN,22,21628,794829,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0595,23/05/2022,186516,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM3 GODOWN,6,4478,164292.5,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0596,23/05/2022,231336,Local,S A COROPACK-SP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,13,5325,206343.75,MH04GF3300,S PAPERS
EXP/2022-23/0122,24/05/2022,15558.5,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26825,15558.5,MH46AR4406,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0123,24/05/2022,15056.22,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,25959,15056.22,MH14HG4219,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0124,24/05/2022,15473.82,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,19,26679,15473.82,MH46AF1560,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0125,24/05/2022,15296.92,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,19,26374,15296.92,MH46AF2399,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0597,24/05/2022,283946,Local,S A COROPACK-SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,12,6536,253270,MH04GF3300,S PAPERS
KPM/2022-23/0598,24/05/2022,81124,Local,Anand Packaging & Printing P. L.,PARTY TRANSPORT,PM3 GODOWN,3,1776,72360,MH20CT0907,VEDANT PACKER PVT. LTD.
KPM/2022-23/0599,24/05/2022,597537,Local,Anand Packaging & Printing P. L.,PARTY TRANSPORT,PM2 GODOWN,25,13617,532982.25,MH20CT0907,VEDANT PACKER PVT. LTD.
KPM/2022-23/0600,24/05/2022,501513,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,13,12273,447779.75,MH20BT2012,ALIGN COMPONENTS PVT. LTD.
KPM/2022-23/0601,24/05/2022,351080,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,9,8472,313464,MH46BU0158,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0603,24/05/2022,116222,Local,TIRUPATI CORRUGATOR - D,SANKAT MOCHAN ROADLINES,PM2 GODOWN,7,2909,104029,MH04HD9463,TIRUPATI CORRUGATOR - D
KPM/2022-23/0604,24/05/2022,304143,Local,TIRUPATI CORRUGATOR - D,SANKAT MOCHAN ROADLINES,PM3 GODOWN,16,7751,271285,MH04HD9463,TIRUPATI CORRUGATOR - D
KPM/2022-23/0606,24/05/2022,17030,Local,TIRUPATI CORRUGATOR - D,SANKAT MOCHAN ROADLINES,PM3 GODOWN,1,434,15190,MH04HD9463,TIRUPATI CORRUGATOR - D
KPM/2022-23/0607,24/05/2022,119479,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,4,2984,106678,MH20BT2012,ALIGN COMPONENTS PVT. LTD.
KPM/2022-23/0608,24/05/2022,81854,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,3,1936,73084,MH20BT2012,ALIGN COMPONENTS PVT. LTD.
KPM/2022-23/0609,24/05/2022,21028,Local,TIRUPATI CORRUGATOR - D,SANKAT MOCHAN ROADLINES,PM2 GODOWN,1,521,18756,MH04HD9463,TIRUPATI CORRUGATOR - D
KPM/2022-23/0610,24/05/2022,182868,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,4354,163275,MH20DE1939,KRISHNA AGENCIES
KPM/2022-23/0611,24/05/2022,298746,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,7,7113,266737.5,MH20DE1939,KRISHNA AGENCIES
EXP/2022-23/0126,25/05/2022,14968.06,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,22,25807,14968.06,MH46AF8570,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0127,25/05/2022,15363.62,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26489,15363.62,MH46AR4405,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0612,25/05/2022,437392,Local,SHRIMANT TRADERS,PARTY TRANSPORT,PM2 GODOWN,19,10616,390138,MH16AE5318,SUSHMA SALES CORPORATION
KPM/2022-23/0613,25/05/2022,492985,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,11,11746,431665.5,MH43E7187,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0614,25/05/2022,24082,Local,NANDIKA PAPER PRODUCTS PVT. LTD.,PARTY TRANSPORT,PM3 GODOWN,1,537,21480,MH20EG8506,NANDIKA PAPER PRODUCTS PVT. LTD.
KPM/2022-23/0615,25/05/2022,149404,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM3 GODOWN,4,3606,133396.5,MH20AT8627,SHRINIWAS ENTERPRISES
KPM/2022-23/0616,25/05/2022,219837,Local,INDUSTRIAL PACKAGING PRODUCTS -S,PATEL TRANSPORT,PM2 GODOWN,7,5231,196283.25,MH20AT8627,SHRINIWAS ENTERPRISES
EXP/2022-23/0128,26/05/2022,15238.92,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,28,26274,15238.92,MH46AF8250,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0129,26/05/2022,15307.94,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,28,26393,15307.94,MH46AF1138,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0130,26/05/2022,15233.12,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,28,26264,15233.12,MH46AF2499,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0618,26/05/2022,543073,Local,Triveni Packaging - DR,SELF TRANSPORTER,PM2 GODOWN,22,12035,478391.25,MH43E7187,Triveni Packaging - DR
KPM/2022-23/0619,26/05/2022,37387,Local,Vyankatesh Packaging -VP,SELF TRANSPORTER,PM2 GODOWN,2,854,32879,MH43E7187,VEDANT PACKER PVT. LTD.
KPM/2022-23/0620,26/05/2022,80800,Local,Vyankatesh Packaging -VP,SELF TRANSPORTER,PM3 GODOWN,5,1848,71148,MH43E7187,VEDANT PACKER PVT. LTD.
KPM/2022-23/0621,26/05/2022,48226,Local,Vyankatesh Packaging -VP,SELF TRANSPORTER,PM2 GODOWN,3,1103,42465.5,MH43E7187,VEDANT PACKER PVT. LTD.
KPM/2022-23/0622,26/05/2022,219280,Local,Frigerio Conserva Allana Private Limited,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,8,5132,195785.8,MH06K6299,SHRINIWAS ENTERPRISES
KPM/2022-23/0623,26/05/2022,256624,Local,Frigerio Conserva Allana Private Limited,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,10,6006,229128.9,MH06K6299,SHRINIWAS ENTERPRISES
KPM/2022-23/0624,26/05/2022,420474,Local,BIYANI PACKAGING PRIVATE LIMITED,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,17,10418,375048,MH46BB8755,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/0626,26/05/2022,430584,Local,DBS Packaging Pvt Ltd-,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,15,10107,384066,MH20DT0407,VEDANT PACKER PVT. LTD.
KPM/2022-23/0627,26/05/2022,458274,Local,PAACK IN INDIA - SE,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,11,10985,408764.75,MH12HD7886,SHRINIWAS ENTERPRISES
KPM/2022-23/0628,26/05/2022,371879,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,8,8858,332175,MH20AT9122,KRISHNA AGENCIES
KPM/2022-23/0629,26/05/2022,173082,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,4121,154537.5,MH20DE1939,KRISHNA AGENCIES
KPM/2022-23/0630,26/05/2022,217155,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,5,5312,193888,MH20DE1939,KRISHNA AGENCIES
KPM/2022-23/0631,26/05/2022,77112,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,2,1836,68850,MH20DE1939,KRISHNA AGENCIES
KPM/2022-23/0632,26/05/2022,42890,Local,SHRIMANT TRADERS,PARTY TRANSPORT,PM3 GODOWN,2,1041,38256.75,MH16AE8007,SUSHMA SALES CORPORATION
KPM/2022-23/0633,26/05/2022,105228,Local,SHRIMANT TRADERS,PARTY TRANSPORT,PM2 GODOWN,5,2554,93859.5,MH16AE8007,SUSHMA SALES CORPORATION
KPM/2022-23/0634,27/05/2022,154865,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM3 GODOWN,4,3712,136416,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0635,27/05/2022,282291,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,10,6953,248569.75,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0636,27/05/2022,693136,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,23,16614,610564.5,MH20AT9201,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0638,27/05/2022,540329,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,12,13125,482436.5,MH04GF3300,KRISHNA AGENCIES
KPM/2022-23/0639,27/05/2022,210325,Local,MAULIKRUPA ENTERPRISES - SP,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,13,4472,187602.5,MH06K6299,S PAPERS
KPM/2022-23/0640,27/05/2022,108732,Local,MAULIKRUPA ENTERPRISES - SP,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,6,2380,96985,MH06K6299,S PAPERS
KPM/2022-23/0641,27/05/2022,86950,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM2 GODOWN,3,2043,77634,MH46BF0145,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0642,27/05/2022,20451,Local,RAVIRATNA PACK PVT. LTD.,SABOO TRANSPORT SERVICE,PM3 GODOWN,2,440,18260,MH11CH4385,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0643,27/05/2022,188193,Local,RAVIRATNA PACK PVT. LTD.,SABOO TRANSPORT SERVICE,PM2 GODOWN,7,3889,168029.5,MH11CH4385,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0644,27/05/2022,185682,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,4421,165787.5,MH04GF3300,KRISHNA AGENCIES
KPM/2022-23/0645,27/05/2022,179010,Local,SADGURU KRUPA PACKAGING,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,8,3759,159671,MH06K6299,S PAPERS
EXP/2022-23/0131,28/05/2022,15628.68,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,20,26946,15628.68,MH14GU8519,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0132,28/05/2022,15346.22,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,25,26459,15346.22,MH45 1462,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0133,28/05/2022,15241.24,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,19,26278,15241.24,MH14HG6766,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/0646,28/05/2022,168240,Local,KHETAN PACKFINE ( P ) LTD - BJ,PARTY TRANSPORT,PM3 GODOWN,4,3953,150214,MH46BF0145,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/0647,28/05/2022,644824,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM3 GODOWN,17,15456,568008,MH43E7187,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0648,28/05/2022,88571,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM2 GODOWN,3,2123,78020.25,MH43E7187,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/0649,28/05/2022,478893,Local,BIYANI PACKAGING PRIVATE LIMITED,SHIVAM TRANSPORT SERVICES,PM2 GODOWN,21,11708,427156,MH16CC6326,BIYANI PACKAGING PRIVATE LIMITED
KPM/2022-23/0650,28/05/2022,218652,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,5,5206,195225,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0651,28/05/2022,233478,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,6,5559,208462.5,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0652,28/05/2022,79086,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,2,1883,70612.5,MH20CT6411,KRISHNA AGENCIES
KPM/2022-23/0653,28/05/2022,292330,Local,MITTAL PACKAGING - LT,PARTY TRANSPORT,PM3 GODOWN,8,7243,260748,MP09GH4389,LAKHOTIYA TRADERS PVT. LTD.-DRS
KPM/2022-23/0655,28/05/2022,164892,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,3926,147225,MH20AT9122,KRISHNA AGENCIES
KPM/2022-23/0656,28/05/2022,195284,Local,AVADHOOT PAPER PRODUCTS PVT LTD (KA),SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,4,4777,174360.5,MH20AT9122,KRISHNA AGENCIES
KPM/2022-23/0657,28/05/2022,269538,Local,SHRIMANT TRADERS,PARTY TRANSPORT,PM3 GODOWN,12,6542,240418.5,MH16R5057,SUSHMA SALES CORPORATION
