BillNo,Billdate,NetAmount,Description,ConsigneeName,Transporter,Godown,TotReels,TotWeight,GAmount,VehicleNo,Distributor
KPM/2022-23/4046,06/02/2023,71070,Local,Madhuri Offset Private Limited,NAFISA ROADLINES,PM2 GODOWN,4,1981,63392,MH31AP5545,BALAJI PACKAGING - A-NAGAR
KPM/2022-23/4047,06/02/2023,172099,Local,ANUSHKA PACKAGING-P,NAFISA ROADLINES,PM3 GODOWN,10,5033,153506.5,MH31AP5545,PRANSHU PAPER PRIVATE LTD.
KPM/2022-23/4048,06/02/2023,169831,Local,ANUSHKA PACKAGING-P,NAFISA ROADLINES,PM3 GODOWN,10,4809,151483.5,MH31AP5545,PRANSHU PAPER PRIVATE LTD.
KPM/2022-23/4049,06/02/2023,362020,Local,CRAFTED SOLUTIONS,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,13,10695,323232.5,MH17AG2736,CRAFTED SOLUTIONS
KPM/2022-23/4050,06/02/2023,39290,Local,S A COROPACK-SP,SANKAT MOCHAN ROADLINES,PM3 GODOWN,2,1054,35045.5,MH12TV5879,S PAPERS
KPM/2022-23/4051,06/02/2023,105752,Local,GREEN PACKAGING,SANKAT MOCHAN ROADLINES,PM3 GODOWN,8,2875,94326.75,MH12TV5879,S PAPERS
KPM/2022-23/4052,06/02/2023,225633,Local,MAULIKRUPA PRINT PACK - SP,SANKAT MOCHAN ROADLINES,PM3 GODOWN,14,5969,201256.75,MH12TV5879,S PAPERS
KPM/2022-23/4053,06/02/2023,31809,Local,MAULIKRUPA PRINT PACK - SP,SANKAT MOCHAN ROADLINES,PM2 GODOWN,3,877,28721.75,MH12TV5879,S PAPERS
KPM/2022-23/4054,06/02/2023,408240,Local,SPARK PRINTPACK PVT LTD - SE,SANKAT MOCHAN ROADLINES,PM2 GODOWN,20,11313,364136,MH04KU1911,SHRINIWAS ENTERPRISES
KPM/2022-23/4055,06/02/2023,217854,Local,AKANKSHA PACKS - DR,PARTY TRANSPORT,PM3 GODOWN,9,6519,194145,MH04BG0386,AKANKSHA PACKS - DR
KPM/2022-23/4056,06/02/2023,142841,Local,AKANKSHA PLAST-N-PRINT PVT  LTD,PARTY TRANSPORT,PM3 GODOWN,6,4221,127409.5,MH04BG0386,AKANKSHA PLAST-N-PRINT PVT  LTD
KPM/2022-23/4057,06/02/2023,443278,Local,PRECIOUS PACKER’S,PARTY TRANSPORT,PM3 GODOWN,15,13403,395388.5,MH20CT0907,PRANSHU PAPER PRIVATE LTD.
KPM/2022-23/4058,06/02/2023,32918,Local,SUMAN PACKAGING,PARTY TRANSPORT,PM3 GODOWN,2,983,29391.5,MH16AT7582,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4059,06/02/2023,392044,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,12,11542,350039,MH20DE1939,ALIGN COMPONENTS PVT. LTD.
KPM/2022-23/4060,06/02/2023,443099,Local,FRIGORIFICO ALLANA PVT LTD.-SE,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,16,12402,395623.8,MH20AT9122,SHRINIWAS ENTERPRISES
KPM/2022-23/4061,06/02/2023,128300,Local,URJA PACKAGING P. LTD.,SABOO TRANSPORT SERVICE,PM2 GODOWN,7,3565,114554,MH03CV4719,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4062,06/02/2023,220255,Local,URJA PACKAGING P. LTD.,SABOO TRANSPORT SERVICE,PM3 GODOWN,13,5388,196656,MH03CV4719,B.J. BHANDARI PAPERS PVT. LTD. - R
KPM/2022-23/4063,06/02/2023,213937,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM3 GODOWN,9,6946,191015,MH20CT6411,ALIGN COMPONENTS PVT. LTD.
EXP/2022-23/0359,07/02/2023,555.45,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,26373,555.45,MH43BX4381,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0360,07/02/2023,9098.95,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,27,25997,9098.95,MH43BX5188,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0361,07/02/2023,9480.14,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,25622,9480.14,MH43BX4920,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0362,07/02/2023,9484.95,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,25635,9484.95,MH43BX5025,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0363,07/02/2023,9456.46,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,25558,9456.46,MH46AF1135,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0364,07/02/2023,9475.33,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,18,25609,9475.33,MH46AF1560,INTERNATIONAL PACKAGING CO LLC
EXP/2022-23/0365,07/02/2023,9898.24,Export,INTERNATIONAL PACKAGING CO LLC,APM TERMINALS (INDIA) PVT. LTD.,Export Godown,28,26752,9898.24,MH46AF2499,INTERNATIONAL PACKAGING CO LLC
KPM/2022-23/4064,07/02/2023,216040,Local,GOPALA KRAFT PACK PVT LTD. - CTC,PARTY TRANSPORT,PM2 GODOWN,14,7238,192892.7,MH04FJ9137,CONTINENTAL TRADE CORPORATION
KPM/2022-23/4065,07/02/2023,47381,Local,GOPALA KRAFT PACK PVT LTD. - CTC,PARTY TRANSPORT,PM2 GODOWN,2,1530,42304.5,MH04FJ9137,CONTINENTAL TRADE CORPORATION
KPM/2022-23/4066,07/02/2023,482555,Local,ALIGN COMPONENTS PVT. LTD. (BUII),SELF TRANSPORTER,PM3 GODOWN,18,14857,423424.5,MH43E7187,ALIGN COMPONENTS PVT. LTD. (BUII)
KPM/2022-23/4067,07/02/2023,168288,Local,ALIGN COMPONENTS PVT. LTD.,SHREE GURUKRUPA TRANSPORT-,PM2 GODOWN,6,5308,150257,MH20CT6411,ALIGN COMPONENTS PVT. LTD.
